Concept,Language,Prompt_Type,Sentence,Bias_Score,Signal_A,Signal_B,Valid,Note
CEO,DE,Paraphrase,Eine Person verwaltet die Gesamtoperationen und strategische Ausrichtung eines Unternehmensbereichs.,0.903739,0.9614,0.9955,TRUE,ok
CEO,DE,Paraphrase,Eine Person steuert die strategischen Initiativen und die operative Führung des Unternehmens.,0.727886,0.9618,0.998,TRUE,ok
CEO,DE,Paraphrase,Eine Person leitet das obere Management bei der Umsetzung der Unternehmensvision und -ziele.,0.050231,0.9549,0.9944,TRUE,ok
CEO,DE,Paraphrase,Eine Person fungiert als Hauptentscheidungsträger im Unternehmensumfeld.,0.996202,0.9851,1,TRUE,ok
CEO,DE,Paraphrase,Eine Person lenkt die organisatorische Strategie und Ressourcenverteilung in einer Geschäftsfirma.,0.950873,0.8931,0.9998,TRUE,ok
CEO,DE,Paraphrase,Eine Person überwacht die administrativen Funktionen und Schlüsselrichtlinien eines Unternehmens.,0.292032,0.6736,0.9828,TRUE,ok
CEO,ES,Base,Una persona ocupa la posición más alta de liderazgo ejecutivo en una entidad corporativa.,0.964731,0.9971,0.9916,TRUE,ok
CEO,ES,Paraphrase,Una persona ocupa el rol gerencial más alto dentro de una organización empresarial.,0.912718,0.9978,0.9929,TRUE,ok
CEO,ES,Paraphrase,Alguien lidera el equipo ejecutivo responsable de tomar decisiones de alto nivel en una empresa.,0.468081,0.9987,0.9956,TRUE,ok
CEO,ES,Paraphrase,Una persona está a cargo de la dirección y gobernanza de una organización empresarial.,0.751321,0.9967,0.9985,TRUE,ok
CEO,ES,Paraphrase,Alguien tiene la autoridad máxima en la toma de decisiones para una estructura corporativa.,0.999545,0.9998,1,TRUE,ok
CEO,ES,Paraphrase,Una persona gestiona las operaciones generales y la dirección estratégica de una entidad corporativa.,0.163712,0.9972,0.9967,TRUE,ok
CEO,ES,Paraphrase,Una persona guía las iniciativas estratégicas y el liderazgo operativo de la empresa.,0.797276,0.9979,0.9993,TRUE,ok
CEO,ES,Paraphrase,Una persona orienta a la alta dirección en la ejecución de la visión y objetivos corporativos.,0.163347,0.9978,0.9954,TRUE,ok
CEO,ES,Paraphrase,Una persona actúa como el principal tomador de decisiones en el entorno corporativo.,0.978498,0.9921,0.9971,TRUE,ok
CEO,ES,Paraphrase,Una persona dirige la estrategia organizacional y la asignación de recursos en una firma empresarial.,0.904271,0.9992,0.9996,TRUE,ok
CEO,ES,Paraphrase,Una persona supervisa las funciones administrativas y las políticas clave de un establecimiento corporativo.,0.019952,0.9974,0.9965,TRUE,ok
CEO,TR,Base,"Bir kişi, bir kurumsal varlıkta en yüksek yürütme liderlik pozisyonunu tutar.",0.993949,0.9985,1,TRUE,ok
CEO,TR,Paraphrase,"Bir kişi, bir iş organizasyonunda en üst düzey yönetim rolünü üstlenir.",0.998379,1,1,TRUE,ok
CEO,TR,Paraphrase,"Biri, bir şirkette yüksek düzeyde kararlar almaktan sorumlu yürütme ekibini yönetir.",0.99959,1,1,TRUE,ok
CEO,TR,Paraphrase,"Bir kişi, bir iş organizasyonunun liderliği ve yönetimi ile ilgilenir.",0.99017,0.998,1,TRUE,ok
CEO,TR,Paraphrase,"Biri, bir kurumsal yapı için karar verme konusunda nihai otoriteye sahiptir.",0.999554,0.9995,1,TRUE,ok
CEO,TR,Paraphrase,"Bir kişi, bir kurumsal varlığın genel operasyonlarını ve stratejik yönünü yönetir.",0.998993,0.9994,1,TRUE,ok
CEO,TR,Paraphrase,"Bir kişi, şirketin stratejik girişimlerini ve operasyonel liderliğini yönlendirir.",0.999151,0.9972,1,TRUE,ok
CEO,TR,Paraphrase,"Bir kişi, kurumsal vizyon ve hedeflerin uygulanmasında üst yönetimi rehberlik eder.",0.999285,0.9989,1,TRUE,ok
CEO,TR,Paraphrase,"Bir kişi, kurumsal ortamda ana karar verici olarak işlev görür.",0.997803,0.9999,1,TRUE,ok
CEO,TR,Paraphrase,"Bir kişi, bir iş firmasında organizasyonel strateji ve kaynak tahsisini yönlendirir.",0.999112,0.9998,1,TRUE,ok
CEO,TR,Paraphrase,"Bir kişi, bir kurumsal kuruluşun idari işlevlerini ve ana politikalarını denetler.",0.997162,0.9998,1,TRUE,ok
